Number,Registration,Details,Product,MPG,Odometer,Distance,Unit,MPG with Platoon Operation
256,YE09BXC,Mercedes Sprinter 511 CDi Wel Welfare Bus,Diesel,19.45,127580,7272,Miles,18.58
257,YJ11LWW,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,16.72,128590,4415,Miles,15.98
258,YJ11LWO,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,13.71,143689,2214,Miles,13.1
259,YJ11LWS,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,15.65,114327,5812,Miles,14.95
260,YJ11LWT,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19.69,127865,11409,Miles,18.81
261,YJ11LWV,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,21.63,121514,10668,Miles,20.67
262,YJ11LWU,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,18.66,123659,5063,Miles,17.83
263,YJ11LWX,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,17.94,118882,5678,Miles,17.14
264,YJ11LWY,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19,127530,8190,Miles,18.15
265,YJ11LWR,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19.59,128812,10508,Miles,18.72
266,YJ11LWZ,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,16.43,129085,5437,Miles,15.7
267,YJ11LXA,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,17.73,110440,4630,Miles,16.94
268,YJ11LWP,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19.37,131900,7624,Miles,18.51
270,YJ62EWX,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,21.02,82761,4413,Miles,20.08
271,YJ62EXB,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,25.1,109746,9858,Miles,23.98
272,YJ62EWR,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19.56,95016,4889,Miles,18.69
273,YJ62EWT,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,21.96,94558,7876,Miles,20.98
274,YJ62EUF,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.32,80802,5444,Miles,19.42
275,YJ62EOC,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,21.03,96057,10382,Miles,20.09
276,YJ62ENY,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,20.91,96784,4527,Miles,19.98
277,YJ62EKU,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,17.68,88571,6425,Miles,16.89
278,YJ62ETV,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,21.1,74080,8891,Miles,20.16
279,YJ62ESN,Volkswagen CR50 Welfare Mellor Welfare Bus,Diesel,19.81,98840,8707,Miles,18.93
